Date,Close,High,Low,Open,Volume,daily_return
,AAPL,AAPL,AAPL,AAPL,AAPL,
2026-06-03,309.9926452636719,316.6668815001487,308.5838566628498,313.9092501546009,50836700,-0.01567264307615801
2026-06-04,310.9618225097656,313.26982953176514,309.38316692864953,312.96009909963743,44869100,0.00312645238815068
2026-06-05,307.0751647949219,314.8984348439246,306.8853260765596,312.5903972939029,65310500,-0.012498826008526143
2026-06-08,301.2801818847656,317.1265012321255,300.9105055796523,308.4739595974908,77949100,-0.018871545388655542
2026-06-09,290.29962158203125,300.4908444635933,287.5320194610898,300.0212482417878,70108800,-0.036446341189923515
2026-06-10,291.3287353515625,294.4960172141002,287.1323727394638,290.4894628291428,52793300,0.0035450055495178656
2026-06-11,295.375244140625,296.7440586571729,289.3404406054596,293.4668864344149,42572500,0.01388983748609407
2026-06-12,290.879150390625,296.88398158337014,289.3704417369658,295.7749221682621,38742100,-0.015221633631081977
2026-06-15,296.1645812988281,297.5233947188816,291.4486474146935,293.8665449684006,45732600,0.018170538868479413
2026-06-16,298.9821472167969,300.2210994929347,293.71669913987887,294.99559499590845,39874400,0.009513514092780229
2026-06-17,295.6949768066406,301.8096980081642,294.10632015937927,300.59074812548096,42745100,-0.010994537435617069
2026-06-18,297.7532043457031,300.31099586682666,295.3652492546472,297.8530937792582,85962200,0.006960644246616354
2026-06-22,296.75408935546875,302.1594314563154,296.5043047694293,297.05381866220307,44879900,-0.003355513813629196
2026-06-23,294.04638671875,301.3800886038737,293.9264950024863,297.2836155142734,52010900,-0.009124398732296202
2026-06-24,292.8274230957031,299.4417438827621,292.68755959702736,295.1054570720635,53081900,-0.004145480706800209
2026-06-25,274.91290283203125,288.55113481081804,273.5141152813601,287.1523472601469,107013700,-0.06117774105404383
2026-06-26,283.53546142578125,285.70360492137456,273.9737007161028,274.7630284991681,261775500,0.03136469225316163
2026-06-29,281.4972229003906,288.12151489662153,279.6088673150861,286.4829438934296,66427000,-0.007188654692930396
2026-06-30,289.11065673828125,289.69017405322865,280.45814550695326,280.9277417485351,65100200,0.027046212958856453
2026-07-01,294.1263427734375,296.33442991747245,288.95081360688545,293.1871503157195,50164200,0.017348672275670385
2026-07-02,308.3640441894531,309.15337194761725,293.4269150966668,293.866538367699,75352800,0.04840675364798175
2026-07-06,312.3905944824219,313.9292760509671,306.7354678654279,307.0951430290638,53590000,0.01305778143996239
2026-07-07,310.3923034667969,315.20815732134815,309.88273318392555,315.0183186077797,42490000,-0.006396770744445224
2026-07-08,313.1199645996094,314.5487250421545,306.7854009831778,311.6412289475945,41323500,0.008787785980344909
2026-07-09,315.947509765625,316.2572401947346,307.8944576262147,310.24243869469103,48124500,0.00903022957872146
2026-07-10,315.0483093261719,316.6369356310425,311.9010296470402,314.4488202226986,34132300,-0.002846043762522954
2026-07-13,317.03656005859375,323.171283634363,315.5078797345754,316.7468014245228,43257800,0.006310939222858858
2026-07-14,314.58868408203125,315.91755515351207,311.64124426456783,313.48965629761443,36336800,-0.007721115748007379
2026-07-15,327.2178039550781,328.44675508114506,317.0465830462295,317.34631234952286,60957600,0.04014486379221993
2026-07-16,332.97283935546875,334.3915986652446,326.50841333986017,327.72736328456057,62970600,0.017587781993612772
2026-07-17,333.452392578125,334.7013154010385,328.71648699084636,331.693929977533,63407100,0.0014402172368908062
2026-07-20,326.3085632324219,333.4224228207836,323.4010672140761,333.2226134619852,53468000,-0.02142383591993391
2026-07-21,327.45758056640625,329.3159936819017,321.94234806189104,322.85156758462244,41338900,0.0035212601306020552
2026-07-22,325.60919189453125,328.7164973399543,323.0613709608057,327.58746619388995,38755900,-0.005644666001250687
2026-07-23,321.3828430175781,323.0214140443725,319.0748358849152,321.4527900194849,40840800,-0.012979820539962161
2026-07-24,332.7330322265625,334.0818750563203,321.3428614810286,321.5127284115298,47489400,0.03531672413627751
2026-07-27,336.61968994140625,339.277401491225,333.73216560461384,334.2517370375488,49604300,0.011681009513348384
2026-07-28,339.78692626953125,342.59453283396704,335.31080637618777,339.73698155301014,51859000,0.009408945533389002
2026-07-29,337.8985900878906,344.2730974331505,337.0593175600121,339.43727163464206,56090800,-0.005557412706758247
2026-07-30,333.1426696777344,334.4615395264105,329.30598233808786,332.8129674612056,74817800,-0.014074993355015719
2026-07-31,308.6438293457031,310.4222943774597,299.7415030462749,304.54735603914753,132489100,-0.07353858440208272
2026-08-03,303.1585693359375,311.5313230344714,302.29929450581176,309.313234694189,75052000,-0.017772135672998512
2026-08-04,309.1134033203125,310.1525156602479,301.0603512911937,302.46913991298527,68001000,0.019642637836096544
2026-08-05,310.7320251464844,311.4414048335362,305.40663118634393,309.09342362565195,49438800,0.005236336596166957
2026-08-06,312.14080810546875,316.0174696892129,308.96355554648414,314.06913775686996,46139900,0.004533755277783991
2026-08-07,313.05999755859375,314.53873325457766,310.47223295908327,311.1816431226555,34437200,0.0029447910342259576
2026-08-10,308.260009765625,308.260009765625,304.6099853515625,306.8299865722656,44812500,-0.015332485243728322
2026-08-11,304.9100036621094,309.9700012207031,302.7900085449219,307.75,37476700,-0.010867469011185404
2026-08-12,302.25,305.6600036621094,300.57000732421875,305.1000061035156,41657800,-0.008723897642456846
2026-08-13,305.260009765625,306.0,302.04998779296875,304.2099914550781,40349300,0.009958675816790663
2026-08-14,305.92999267578125,307.489990234375,304.29998779296875,306.0,28229400,0.002194794236790587
2026-08-17,305.5899963378906,307.6600036621094,302.94000244140625,306.2099914550781,38169300,-0.0011113534012042736
2026-08-18,310.0299987792969,311.489990234375,305.739990234375,307.5799865722656,53424500,0.014529279409058127
2026-08-19,316.8299865722656,319.2799987792969,309.6000061035156,310.1400146484375,50505600,0.021933322000267097
2026-08-20,311.29998779296875,320.2799987792969,310.6499938964844,317.4599914550781,40959200,-0.017454152112068244
2026-08-21,309.3500061035156,312.3800048828125,307.010009765625,312.04998779296875,46876800,-0.006263995393247401
2026-08-24,310.3399963378906,313.3599853515625,309.9700012207031,311.4700012207031,34673600,0.0032002269754076718
2026-08-25,309.8999938964844,313.5899963378906,308.2099914550781,310.7900085449219,25869800,-0.0014178077160482694
2026-08-26,313.45001220703125,315.42999267578125,308.79998779296875,310.29998779296875,34024500,0.011455367474878742
2026-08-27,314.5799865722656,315.3999938964844,309.3999938964844,310.54998779296875,32419200,0.003604958753321119
2026-08-28,319.70001220703125,322.3699951171875,315.45001220703125,316.8500061035156,38649400,0.01627575132974779
2026-08-31,316.8500061035156,321.239990234375,312.79998779296875,319.6000061035156,41242700,-0.008914626195478559
2026-09-01,325.1300048828125,327.29998779296875,314.7300109863281,316.9800109863281,53167400,0.02613223487390992
2026-09-02,324.9599914550781,328.3999938964844,323.5299987792969,326.8699951171875,33776400,-0.000522909067699362
2026-09-03,328.2099914550781,330.80999755859375,324.1099853515625,324.8699951171875,37225800,0.010001231183714099
2026-09-04,319.9700012207031,328.92999267578125,317.8599853515625,328.30999755859375,39606900,-0.025105848234065142
2026-09-08,316.2200012207031,320.70001220703125,314.8999938964844,317.1000061035156,35477100,-0.011719848691107093
2026-09-09,315.3399963378906,319.1499938964844,309.8999938964844,315.489990234375,65640000,-0.0027828881140200545
2026-09-10,326.57000732421875,326.739990234375,316.510009765625,316.6700134277344,70011900,0.03561239017170226
2026-09-11,332.2699890136719,336.2200012207031,326.29998779296875,327.45001220703125,50716900,0.017454088133066703
2026-09-14,333.0799865722656,335.5,331.3399963378906,334.7900085449219,39269100,0.0024377692400032736
2026-09-15,331.3399963378906,331.7799987792969,328.3500061035156,330.1400146484375,31748200,-0.005223941108804753
2026-09-16,332.4100036621094,335.4800109863281,330.70001220703125,332.5299987792969,35981000,0.0032293334219983816
2026-09-17,337.0,338.3399963378906,330.17999267578125,334.7699890136719,36700200,0.01380823768034456
2026-09-18,336.1300048828125,338.489990234375,332.5299987792969,337.9100036621094,86588200,-0.0025815878848294282
2026-09-21,338.9800109863281,339.6400146484375,333.04998779296875,335.2799987792969,34999200,0.0084788803799567
2026-09-22,339.75,345.3399963378906,338.75,340.1400146484375,40711800,0.002271487960105567
2026-09-23,337.0199890136719,341.79998779296875,335.5,341.0799865722656,31658800,-0.008035352424806796
